Front,Back,Tags
"What is the equation for current triangle calculations?","Use speed and time in hours/knots. Plot current vector, then boat speed vector from current head to intersect desired course line","current navigation calculation"
"What information should be in a deck log?","Time, position, heading, speed, wind, waves, barometer readings, and important navigational events","navigation deck log"
"How often should you plot your position?","Every half hour for short coastal passages, every hour for longer open water passages","navigation position plotting"
"What should you consider when planning a route?","Wind direction/angles, tides, currents, depths, dangers, distances, timing, backup plans, and entry/exit conditions","route planning navigation"
"Why should you be conservative with speed estimates?","Actual average speeds are usually much less than expected due to wind, sea conditions, and sailing angles","route planning speed"
"What is the most important rule about soundings?","The soundings show depth at chart datum (usually MLLW). Add current tide level to get actual depth","soundings depth navigation"
"How can wind affect soundings in harbors?","Wind can blow water in or out of harbors, making actual depths different from chart soundings","soundings wind navigation"
"What does ECDIS stand for?","Electronic Chart Display and Information System - a geographic information system for nautical navigation","electronic navigation acronym"
"What should you check before trusting a charter boat's chartplotter?","Verify its position against a known system - some may have outdated charts or incorrect positioning","electronic navigation charter"
"What is the main risk of relying only on smartphones for navigation?","Apps can stop updating GPS, screens become unresponsive to water, and parallel processing can cause failures","electronic navigation smartphone"
"What backup should you always have for electronic navigation?","A handheld marine GPS - waterproof, reliable, can download waypoints, designed for marine environment","navigation GPS backup"
"How do you use GPS bearing to stay on course?","Steer so that your heading matches the bearing to your destination waypoint","GPS navigation steering"
"What should you do if your bearing to destination increases?","Turn right to get back on course","GPS navigation steering"
"What should you do if your bearing to destination decreases?","Turn left to get back on course","GPS navigation steering"
"What is the MOB function on a GPS?","Man Overboard - immediately marks position and initiates navigation back to that point","GPS safety MOB"
"What should you always monitor when using danger bearings?","The bearing to the reference object - ensure it stays on the safe side of your plotted danger bearing","danger bearing safety monitoring"
"What are the essential elements of route planning?","Study charts, Coast Pilot, weather, tides/currents, wind angles, backup plans, timing, and resource requirements","route planning comprehensive"
"Why should you study Google Earth during route planning?","Provides visual confirmation of anchorages, facilities, and approaches that may not be clear from charts alone","route planning resources"
"What should you include when plotting disaster courses?","Plot courses 5° to windward and 10° to leeward to see where you'd end up if off course","route planning safety"
"How should you handle GPS precision vs. chart accuracy?","Remember that GPS precision (6 feet) may be much better than chart accuracy (hundreds of feet), especially in areas with old surveys","GPS charts accuracy"
"What is the relationship between latitude and distance?","5° of latitude = 300 nautical miles (since 1° = 60 nautical miles)","coordinates distance navigation"
"How do you determine if you're on the correct side of a danger bearing?","If north of the danger bearing line, bearing to reference object will be LESS than danger bearing. If south, bearing will be MORE","danger bearing navigation logic"
"What is the purpose of Chart #1 categories I, J, K, N, P, Q?","I=Depths, J=Nature of Seabed, K=Rocks/Wrecks/Obstructions, N=Areas/Limits, P=Lights, Q=Buoys/Beacons","charts symbols categories"
"What is the recommended angle between LOPs for accuracy?","Ideally about 90° between the bearings for the most accurate fix","fixes bearings accuracy"
"What is the key to accurate chart plotting?","Make lines as light and thin as possible, dots as small as possible, use outside edges of rules, avoid shadows","plotting accuracy technique"
"Why should you never plot courses so you pass between two danger buoys?","The spacing may be only 200 feet apart - not enough margin for error","navigation safety buoys"
"What should you do before using any chart?","Calculate today's variation to know the error in the magnetic compass rose","charts variation navigation"
"What is the most critical information on any chart?","The soundings (depths) and their datum, as these are essential for avoiding grounding","charts soundings critical"
